scenario,distribution,days,density
current_nsw_case_init_0.6,time_to_interview,2,0.04853714112106941
current_nsw_case_init_0.6,interview_isolation,2,0.07581633246407919
current_nsw_case_init_0.6,isolation_swab,3,0.012636055410679864
current_nsw_case_init_0.6,test_turnaround_time,3,0.06336005189269332
current_nsw_case_init_0.6,time_to_interview,3,0.0385113170287103
current_nsw_case_init_0.6,interview_isolation,3,0.012636055410679864
current_nsw_case_init_0.6,isolation_swab,4,0.0015795069263349838
current_nsw_case_init_0.6,test_turnaround_time,4,0.013390168187925683
current_nsw_case_init_0.6,time_to_interview,4,0.029664286799331606
current_nsw_case_init_0.6,interview_isolation,4,0.0015795069263349838
current_nsw_case_init_0.6,isolation_swab,5,1.5795069263349796e-4
current_nsw_case_init_0.6,test_turnaround_time,5,0.005397766760876616
current_nsw_case_init_0.6,time_to_interview,5,0.0359349840498253
current_nsw_case_init_0.6,interview_isolation,5,1.5795069263349796e-4
current_nsw_case_init_0.6,isolation_swab,6,1.3162557719458172e-5
current_nsw_case_init_0.6,test_turnaround_time,6,0.0028262984756521337
current_nsw_case_init_0.6,time_to_interview,6,0.021048154336928446
current_nsw_case_init_0.6,interview_isolation,6,1.3162557719458172e-5
current_nsw_case_init_0.6,isolation_swab,7,9.401826942470148e-7
current_nsw_case_init_0.6,test_turnaround_time,7,0.0020618079043691795
current_nsw_case_init_0.6,time_to_interview,7,0.007315813458909311
current_nsw_case_init_0.6,interview_isolation,7,9.401826942470148e-7
current_nsw_case_init_0.6,isolation_swab,8,5.876141839043841e-8
current_nsw_case_init_0.6,test_turnaround_time,8,0.0017838113329935598
current_nsw_case_init_0.6,time_to_interview,8,0.0031718061674008806
current_nsw_case_init_0.6,interview_isolation,8,5.876141839043841e-8
current_nsw_case_init_0.6,isolation_swab,9,3.264523243913249e-9
current_nsw_case_init_0.6,test_turnaround_time,9,9.498216188667006e-4
current_nsw_case_init_0.6,time_to_interview,9,0.0018714871639070327
current_nsw_case_init_0.6,interview_isolation,9,3.264523243913249e-9
current_nsw_case_init_0.6,isolation_swab,10,1.632261621956627e-10
current_nsw_case_init_0.6,test_turnaround_time,10,5.791595236992077e-4
current_nsw_case_init_0.6,time_to_interview,10,0.0011058787786723376
current_nsw_case_init_0.6,interview_isolation,10,1.632261621956627e-10
current_nsw_case_init_0.6,isolation_swab,11,7.419371008893695e-12
current_nsw_case_init_0.6,test_turnaround_time,11,2.0849742853171479e-4
current_nsw_case_init_0.6,time_to_interview,11,6.926933009266291e-4
current_nsw_case_init_0.6,interview_isolation,11,7.419371008893695e-12
current_nsw_case_init_0.6,isolation_swab,12,3.0914045870390403e-13
current_nsw_case_init_0.6,test_turnaround_time,12,4.4016123801139787e-4
current_nsw_case_init_0.6,time_to_interview,12,4.861005620537748e-4
current_nsw_case_init_0.6,interview_isolation,12,3.0914045870390403e-13
current_nsw_case_init_0.6,isolation_swab,13,1.189001764245786e-14
current_nsw_case_init_0.6,test_turnaround_time,13,1.1583190473984154e-4
current_nsw_case_init_0.6,time_to_interview,13,2.1874525292419865e-4
current_nsw_case_init_0.6,interview_isolation,13,1.189001764245786e-14
current_nsw_case_init_0.6,isolation_swab,14,4.246434872306379e-16
current_nsw_case_init_0.6,test_turnaround_time,14,3.2432933327155634e-4
current_nsw_case_init_0.6,time_to_interview,14,1.5798268266747678e-4
current_nsw_case_init_0.6,interview_isolation,14,4.246434872306379e-16
current_nsw_case_init_0.8,isolation_swab,0,0.6065306597126334
current_nsw_case_init_0.8,test_turnaround_time,0,0.11553074178751796
current_nsw_case_init_0.8,time_to_interview,0,0.8522983442199605
current_nsw_case_init_0.8,interview_isolation,0,0.6065306597126334
current_nsw_case_init_0.8,isolation_swab,1,0.3032653298563167
current_nsw_case_init_0.8,test_turnaround_time,1,0.5632905527498494
current_nsw_case_init_0.8,time_to_interview,1,0.05334346042837611
current_nsw_case_init_0.8,interview_isolation,1,0.3032653298563167
current_nsw_case_init_0.8,isolation_swab,2,0.07581633246407919
current_nsw_case_init_0.8,test_turnaround_time,2,0.22974099986100172
current_nsw_case_init_0.8,time_to_interview,2,0.024268570560534705
current_nsw_case_init_0.8,interview_isolation,2,0.07581633246407919
current_nsw_case_init_0.8,isolation_swab,3,0.012636055410679864
current_nsw_case_init_0.8,test_turnaround_time,3,0.06336005189269332
current_nsw_case_init_0.8,time_to_interview,3,0.01925565851435515
current_nsw_case_init_0.8,interview_isolation,3,0.012636055410679864
current_nsw_case_init_0.8,isolation_swab,4,0.0015795069263349838
current_nsw_case_init_0.8,test_turnaround_time,4,0.013390168187925683
current_nsw_case_init_0.8,time_to_interview,4,0.014832143399665803
current_nsw_case_init_0.8,interview_isolation,4,0.0015795069263349838
current_nsw_case_init_0.8,isolation_swab,5,1.5795069263349796e-4
current_nsw_case_init_0.8,test_turnaround_time,5,0.005397766760876616
current_nsw_case_init_0.8,time_to_interview,5,0.01796749202491265
current_nsw_case_init_0.8,interview_isolation,5,1.5795069263349796e-4
current_nsw_case_init_0.8,isolation_swab,6,1.3162557719458172e-5
current_nsw_case_init_0.8,test_turnaround_time,6,0.0028262984756521337
current_nsw_case_init_0.8,time_to_interview,6,0.010524077168464223
current_nsw_case_init_0.8,interview_isolation,6,1.3162557719458172e-5
current_nsw_case_init_0.8,isolation_swab,7,9.401826942470148e-7
current_nsw_case_init_0.8,test_turnaround_time,7,0.0020618079043691795
current_nsw_case_init_0.8,time_to_interview,7,0.0036579067294546554
current_nsw_case_init_0.8,interview_isolation,7,9.401826942470148e-7
current_nsw_case_init_0.8,isolation_swab,8,5.876141839043841e-8
current_nsw_case_init_0.8,test_turnaround_time,8,0.0017838113329935598
current_nsw_case_init_0.8,time_to_interview,8,0.0015859030837004403
current_nsw_case_init_0.8,interview_isolation,8,5.876141839043841e-8
current_nsw_case_init_0.8,isolation_swab,9,3.264523243913249e-9
current_nsw_case_init_0.8,test_turnaround_time,9,9.498216188667006e-4
current_nsw_case_init_0.8,time_to_interview,9,9.357435819535164e-4
current_nsw_case_init_0.8,interview_isolation,9,3.264523243913249e-9
current_nsw_case_init_0.8,isolation_swab,10,1.632261621956627e-10
current_nsw_case_init_0.8,test_turnaround_time,10,5.791595236992077e-4
current_nsw_case_init_0.8,time_to_interview,10,5.529393893361688e-4
current_nsw_case_init_0.8,interview_isolation,10,1.632261621956627e-10
current_nsw_case_init_0.8,isolation_swab,11,7.419371008893695e-12
current_nsw_case_init_0.8,test_turnaround_time,11,2.0849742853171479e-4
current_nsw_case_init_0.8,time_to_interview,11,3.4634665046331454e-4
current_nsw_case_init_0.8,interview_isolation,11,7.419371008893695e-12
current_nsw_case_init_0.8,isolation_swab,12,3.0914045870390403e-13
current_nsw_case_init_0.8,test_turnaround_time,12,4.4016123801139787e-4
current_nsw_case_init_0.8,time_to_interview,12,2.430502810268874e-4
current_nsw_case_init_0.8,interview_isolation,12,3.0914045870390403e-13
current_nsw_case_init_0.8,isolation_swab,13,1.189001764245786e-14
current_nsw_case_init_0.8,test_turnaround_time,13,1.1583190473984154e-4
current_nsw_case_init_0.8,time_to_interview,13,1.0937262646209933e-4
current_nsw_case_init_0.8,interview_isolation,13,1.189001764245786e-14
